分数,位次区间,同分人数,建议位次
203,111149-111192,44,111192
202,111193-111239,47,111239
201,111240-111281,42,111281
200,111282-111327,46,111327
199,111328-111362,35,111362
198,111363-111413,51,111413
197,111414-111455,42,111455
196,111456-111500,45,111500
195,111501-111534,34,111534
194,111535-111575,41,111575
193,111576-111609,34,111609
192,111610-111643,34,111643
191,111644-111678,35,111678
190,111679-111717,39,111717
189,111718-111754,37,111754
188,111755-111778,24,111778
187,111779-111813,35,111813
186,111814-111838,25,111838
185,111839-111855,17,111855
184,111856-111880,25,111880
183,111881-111902,22,111902
182,111903-111918,16,111918
181,111919-111939,21,111939
180,111940-111961,22,111961
179,111962-111981,20,111981
178,111982-112002,21,112002
177,112003-112022,20,112022
176,112023-112045,23,112045
175,112046-112060,15,112060
174,112061-112074,14,112074
173,112075-112086,12,112086
172,112087-112098,12,112098
171,112099-112107,9,112107
170,112108-112123,16,112123
169,112124-112130,7,112130
168,112131-112144,14,112144
167,112145-112160,16,112160
166,112161-112166,6,112166
165,112167-112172,6,112172
164,112173-112183,11,112183
163,112184-112190,7,112190
162,112191-112198,8,112198
161,112199-112210,12,112210
160,112211-112216,6,112216
159,112217-112226,10,112226
158,112227-112233,7,112233
157,112234-112245,12,112245
156,112246-112251,6,112251
155,112252-112254,3,112254
154,112255-112256,2,112256
153,112257-112262,6,112262
152,112263-112267,5,112267
151,112268-112273,6,112273
150,112274-112279,6,112279
149,112280-112284,5,112284
148,112285-112286,2,112286
147,112287-112292,6,112292
146,112293-112293,1,112293
145,112294-112297,4,112297
144,112298-112299,2,112299
143,112300-112301,2,112301
142,112302-112302,1,112302
141,112303-112304,2,112304
140,112305-112306,2,112306
139,112307-112310,4,112310
138,112311-112311,1,112311
137,112312-112312,1,112312
136,112312-112312,-,112312
135,112313-112315,3,112315
134,112316-112318,3,112318
133,112319-112319,1,112319
132,112320-112320,1,112320
131,112321-112323,3,112323
130,112324-112324,1,112324
129,112325-112325,1,112325
128,112325-112325,-,112325
127,112325-112325,-,112325
